,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id,originalTitle,startYear,genres,averageRating,numVotes,Gross Profit
1,512200,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Jumanji: The Next Level,Jumanji: The Next Level,2019-12-04,272.71,68.0,1901,125000000.0,310830000.0,tt7975244,Jumanji: The Next Level,2019.0,"Action,Adventure,Comedy",6.9,90466,185830000.0
2,419704,"['Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",Ad Astra,Ad Astra,2019-09-17,271.48900000000003,60.0,2483,87500000.0,127175922.0,tt2935510,Ad Astra,2019.0,"Adventure,Drama,Mystery",6.6,147305,39675922.0
3,496243,"['Comedy', 'Drama', 'Thriller']",기생충,Parasite,2019-05-30,148.987,86.0,4756,11363000.0,201055038.0,tt6751668,Gisaengchung,2019.0,"Comedy,Drama,Thriller",8.6,288268,189692038.0
4,330457,"['Adventure', 'Animation', 'Family']",Frozen II,Frozen II,2019-11-20,124.257,71.0,2614,33000000.0,1330764959.0,tt4520988,Frozen II,2019.0,"Adventure,Animation,Comedy",7.1,77968,1297764959.0
6,458897,"['Action', 'Adventure', 'Comedy']",Charlie's Angels,Charlie's Angels,2019-11-14,112.825,64.0,556,48000000.0,70960003.0,tt5033998,Charlie's Angels,2019.0,"Action,Adventure,Comedy",4.4,27350,22960003.0
8,546554,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",Knives Out,Knives Out,2019-11-27,96.54299999999999,78.0,2485,40000000.0,163700000.0,tt8946378,Knives Out,2019.0,"Comedy,Crime,Drama",8.0,200491,123700000.0
10,475557,"['Crime', 'Drama', 'Thriller']",Joker,Joker,2019-10-02,98.649,82.0,9548,55000000.0,1073698955.0,tt7286456,Joker,2019.0,"Crime,Drama,Thriller",8.6,698168,1018698955.0
11,299536,"['Action', 'Adventure', 'Science Fiction']",Avengers: Infinity War,Avengers: Infinity War,2018-04-25,84.76799999999999,83.0,16897,300000000.0,2046239637.0,tt4154756,Avengers: Infinity War,2018.0,"Action,Adventure,Sci-Fi",8.5,750111,1746239637.0
12,290859,"['Action', 'Science Fiction']",Terminator: Dark Fate,Terminator: Dark Fate,2019-10-23,76.098,63.0,1579,185000000.0,233685077.0,tt6450804,Terminator: Dark Fate,2019.0,"Action,Adventure,Sci-Fi",6.3,100574,48685077.0
13,530915,"['Action', 'Drama', 'War']",1917,1917,2019-12-10,70.66,80.0,2963,100000000.0,200483309.0,tt8579674,1917,2019.0,"Drama,War",8.4,202702,100483309.0
14,525661,['Drama'],Bombshell,Bombshell,2019-12-13,61.477,68.0,449,32000000.0,53774397.0,tt6394270,Bombshell,2019.0,"Biography,Drama",6.8,35789,21774397.0
15,515001,"['Comedy', 'Drama', 'War']",Jojo Rabbit,Jojo Rabbit,2019-10-18,68.363,81.0,2208,14000000.0,82468705.0,tt2584384,Jojo Rabbit,2019.0,"Comedy,Drama,War",8.0,146005,68468705.0
16,359724,"['Action', 'Drama']",Ford v Ferrari,Ford v Ferrari,2019-11-13,63.028,78.0,1722,97600000.0,220803003.0,tt1950186,Ford v Ferrari,2019.0,"Action,Biography,Drama",8.2,154969,123203003.0
18,522162,"['Action', 'Drama', 'History', 'War']",Midway,Midway,2019-11-06,67.426,67.0,403,100000000.0,123114406.0,tt6924650,Midway,2019.0,"Action,Drama,History",6.7,31351,23114406.0
19,181812,"['Action', 'Adventure', 'Science Fiction']",Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,2019-12-18,55.835,65.0,3059,250000000.0,1058056021.0,tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019.0,"Action,Adventure,Fantasy",6.8,260368,808056021.0
20,338967,"['Action', 'Comedy', 'Horror']",Zombieland: Double Tap,Zombieland: Double Tap,2019-10-09,42.906000000000006,69.0,1548,42000000.0,122801777.0,tt1560220,Zombieland: Double Tap,2019.0,"Action,Comedy,Horror",6.8,87071,80801777.0
22,466272,"['Comedy', 'Drama', 'Thriller']",Once Upon a Time… in Hollywood,Once Upon a Time… in Hollywood,2019-07-25,52.781000000000006,75.0,4851,95000000.0,374251247.0,tt7131622,Once Upon a Time... in Hollywood,2019.0,"Comedy,Drama",7.7,398042,279251247.0
23,429617,"['Action', 'Adventure', 'Science Fiction']",Spider-Man: Far from Home,Spider-Man: Far from Home,2019-06-28,46.18,75.0,6129,160000000.0,1131450163.0,tt6320628,Spider-Man: Far from Home,2019.0,"Action,Adventure,Sci-Fi",7.5,266482,971450163.0
24,420809,"['Adventure', 'Fantasy', 'Family']",Maleficent: Mistress of Evil,Maleficent: Mistress of Evil,2019-10-16,44.50899999999999,72.0,1964,85000000.0,491570967.0,tt4777008,Maleficent: Mistress of Evil,2019.0,"Adventure,Family,Fantasy",6.7,55953,406570967.0
25,481084,"['Animation', 'Comedy', 'Fantasy', 'Family']",The Addams Family,The Addams Family,2019-10-10,50.073,62.0,601,40000000.0,200185807.0,tt1620981,The Addams Family,2019.0,"Animation,Comedy,Family",5.8,16355,160185807.0
27,420817,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Family']",Aladdin,Aladdin,2019-05-22,46.144,70.0,4930,183000000.0,1047612394.0,tt6139732,Aladdin,2019.0,"Adventure,Family,Fantasy",7.0,188455,864612394.0
28,420818,"['Adventure', 'Family']",The Lion King,The Lion King,2019-07-12,39.216,71.0,4581,260000000.0,1656943394.0,tt6105098,The Lion King,2019.0,"Adventure,Animation,Drama",6.9,169643,1396943394.0
29,324857,"['Action', 'Adventure', 'Animation', 'Comedy', 'Science Fiction']",Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018-12-06,44.86600000000001,84.0,6424,90000000.0,375450417.0,tt4633694,Spider-Man: Into the Spider-Verse,2018.0,"Action,Adventure,Animation",8.4,298350,285450417.0
31,87101,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",Terminator Genisys,Terminator Genisys,2015-06-23,36.211,59.0,5845,155000000.0,440603537.0,tt1340138,Terminator Genisys,2015.0,"Action,Adventure,Sci-Fi",6.4,248576,285603537.0
34,501170,['Horror'],Doctor Sleep,Doctor Sleep,2019-10-30,48.828,71.0,1148,45000000.0,72281712.0,tt5606664,Doctor Sleep,2019.0,"Drama,Fantasy,Horror",7.4,79046,27281712.0
35,458156,"['Action', 'Crime', 'Thriller']",John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019-05-15,37.874,71.0,3949,55000000.0,326699296.0,tt6146586,John Wick: Chapter 3 - Parabellum,2019.0,"Action,Crime,Thriller",7.5,226697,271699296.0
37,384018,"['Action', 'Adventure', 'Comedy']",Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,35.583,66.0,2623,200000000.0,760098996.0,tt6806448,Fast & Furious Presents: Hobbs & Shaw,2019.0,"Action,Adventure",6.5,134280,560098996.0
38,522627,"['Action', 'Comedy', 'Crime']",The Gentlemen,The Gentlemen,2020-01-01,38.284,79.0,359,18400000.0,48441089.0,tt8367814,The Gentlemen,2019.0,"Action,Comedy,Crime",8.1,44161,30041089.0
39,453405,"['Action', 'Science Fiction', 'Thriller']",Gemini Man,Gemini Man,2019-10-02,36.53,59.0,1490,138000000.0,173469516.0,tt1025100,Gemini Man,2019.0,"Action,Drama,Sci-Fi",5.7,55961,35469516.0
40,299537,"['Action', 'Adventure', 'Science Fiction']",Captain Marvel,Captain Marvel,2019-03-06,39.497,70.0,8394,152000000.0,1128274794.0,tt4154664,Captain Marvel,2019.0,"Action,Adventure,Sci-Fi",6.9,396459,976274794.0
41,299534,"['Action', 'Adventure', 'Science Fiction']",Avengers: Endgame,Avengers: Endgame,2019-04-24,38.57,83.0,11389,356000000.0,2797800564.0,tt4154796,Avengers: Endgame,2019.0,"Action,Adventure,Drama",8.5,674091,2441800564.0
43,423204,"['Action', 'Thriller']",Angel Has Fallen,Angel Has Fallen,2019-08-21,41.238,60.0,1217,40000000.0,133365452.0,tt6189022,Angel Has Fallen,2019.0,"Action,Thriller",6.4,52466,93365452.0
44,522938,"['Action', 'Drama', 'Thriller']",Rambo: Last Blood,Rambo: Last Blood,2019-09-19,37.312,59.0,1285,50000000.0,91490353.0,tt1206885,Rambo: Last Blood,2019.0,"Action,Adventure,Thriller",6.2,58181,41490353.0
45,535292,"['Action', 'Crime', 'Drama']",21 Bridges,21 Bridges,2019-10-24,34.063,62.0,339,33000000.0,47088457.0,tt8688634,21 Bridges,2019.0,"Action,Crime,Drama",6.6,18210,14088457.0
46,331482,"['Drama', 'Romance']",Little Women,Little Women,2019-12-25,35.016,80.0,1239,40000000.0,191540586.0,tt3281548,Little Women,2019.0,"Drama,Romance",8.0,66069,151540586.0
48,399579,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Alita: Battle Angel,Alita: Battle Angel,2019-01-31,30.226999999999997,69.0,4334,170000000.0,404852543.0,tt0437086,Alita: Battle Angel,2019.0,"Action,Adventure,Sci-Fi",7.3,192625,234852543.0
50,292011,['Drama'],Richard Jewell,Richard Jewell,2019-12-13,34.95,75.0,378,45000000.0,33904605.0,tt3513548,Richard Jewell,2019.0,"Biography,Crime,Drama",7.5,18660,-11095395.0
51,320288,"['Action', 'Adventure', 'Science Fiction']",Dark Phoenix,Dark Phoenix,2019-06-05,36.052,60.0,2931,200000000.0,245000000.0,tt6565702,Dark Phoenix,2019.0,"Action,Adventure,Sci-Fi",5.8,125551,45000000.0
52,166428,"['Adventure', 'Animation', 'Family']",How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,2019-01-03,31.416,77.0,3090,129000000.0,517526875.0,tt2386490,How to Train Your Dragon: The Hidden World,2019.0,"Action,Adventure,Animation",7.5,87788,388526875.0
53,301528,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",Toy Story 4,Toy Story 4,2019-06-19,31.826,75.0,3772,175000000.0,1073394593.0,tt1979376,Toy Story 4,2019.0,"Adventure,Animation,Comedy",7.8,160920,898394593.0
56,474350,"['Drama', 'Fantasy', 'Horror']",It Chapter Two,It Chapter Two,2019-09-04,35.295,68.0,3250,79000000.0,472093228.0,tt7349950,It Chapter Two,2019.0,"Drama,Fantasy,Horror",6.6,159697,393093228.0
57,398978,"['Crime', 'Drama', 'History']",The Irishman,The Irishman,2019-11-01,33.299,78.0,2763,159000000.0,607420.0,tt1302006,The Irishman,2019.0,"Biography,Crime,Drama",8.0,251336,-158392580.0
58,373571,"['Action', 'Science Fiction']",Godzilla: King of the Monsters,Godzilla: King of the Monsters,2019-05-29,32.921,62.0,2108,170000000.0,385900138.0,tt3741700,Godzilla: King of the Monsters,2019.0,"Action,Adventure,Fantasy",6.1,109965,215900138.0
59,284052,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Doctor Strange,Doctor Strange,2016-10-25,27.480999999999998,74.0,14180,165000000.0,677700000.0,tt1211837,Doctor Strange,2016.0,"Action,Adventure,Fantasy",7.5,555472,512700000.0
60,424694,"['Drama', 'Music']",Bohemian Rhapsody,Bohemian Rhapsody,2018-10-24,29.86,80.0,10033,52000000.0,894027543.0,tt1727824,Bohemian Rhapsody,2018.0,"Biography,Drama,Music",8.0,410530,842027543.0
