,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id
0,475303,"['Comedy', 'Romance']",A Rainy Day in New York,A Rainy Day in New York,2019-07-26,1194.115,67.0,597,$0.00,$0.00,tt7139936
1,512200,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Jumanji: The Next Level,Jumanji: The Next Level,2019-12-04,267.705,68.0,1938,"$125,000,000.00","$310,830,000.00",tt7975244
2,419704,"['Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",Ad Astra,Ad Astra,2019-09-17,261.579,60.0,2494,"$87,500,000.00","$127,175,922.00",tt2935510
3,496243,"['Comedy', 'Drama', 'Thriller']",기생충,Parasite,2019-05-30,145.962,86.0,4789,"$11,363,000.00","$201,055,038.00",tt6751668
4,330457,"['Adventure', 'Animation', 'Family']",Frozen II,Frozen II,2019-11-20,145.51,71.0,2626,"$33,000,000.00","$1,330,764,959.00",tt4520988
5,431693,"['Action', 'Adventure', 'Animation', 'Comedy']",Spies in Disguise,Spies in Disguise,2019-12-24,104.718,73.0,234,"$111,000,000.00",$0.00,tt5814534
6,458897,"['Action', 'Adventure', 'Comedy']",Charlie's Angels,Charlie's Angels,2019-11-14,99.886,64.0,561,"$48,000,000.00","$70,960,003.00",tt5033998
7,546554,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",Knives Out,Knives Out,2019-11-27,83.715,78.0,2495,"$40,000,000.00","$163,700,000.00",tt8946378
8,457335,"['Action', 'Comedy']",Guns Akimbo,Guns Akimbo,2020-02-27,79.446,62.0,43,$0.00,$0.00,tt6902676
9,475557,"['Crime', 'Drama', 'Thriller']",Joker,Joker,2019-10-02,93.814,82.0,9570,"$55,000,000.00","$1,073,698,955.00",tt7286456
10,299536,"['Action', 'Adventure', 'Science Fiction']",Avengers: Infinity War,Avengers: Infinity War,2018-04-25,84.39,83.0,16905,"$300,000,000.00","$2,046,239,637.00",tt4154756
11,496891,"['Action', 'Animation', 'Comedy']",ガールズ＆パンツァー 最終章 第2話,Girls und Panzer das Finale: Part II,2019-06-15,82.516,41.0,7,$0.00,$0.00,tt7834494
12,290859,"['Action', 'Science Fiction']",Terminator: Dark Fate,Terminator: Dark Fate,2019-10-23,81.2,63.0,1582,"$185,000,000.00","$233,685,077.00",tt6450804
13,522162,"['Action', 'Drama', 'History', 'War']",Midway,Midway,2019-11-06,72.915,67.0,405,"$100,000,000.00","$123,114,406.00",tt6924650
14,530915,"['Action', 'Drama', 'War']",1917,1917,2019-12-10,69.01,80.0,2983,"$100,000,000.00","$200,483,309.00",tt8579674
15,525661,['Drama'],Bombshell,Bombshell,2019-12-13,52.691,68.0,453,"$32,000,000.00","$53,774,397.00",tt6394270
16,515001,"['Comedy', 'Drama', 'War']",Jojo Rabbit,Jojo Rabbit,2019-10-18,65.884,81.0,2221,"$14,000,000.00","$82,468,705.00",tt2584384
17,359724,"['Action', 'Drama']",Ford v Ferrari,Ford v Ferrari,2019-11-13,55.865,78.0,1730,"$97,600,000.00","$220,803,003.00",tt1950186
18,473033,"['Crime', 'Drama', 'Thriller']",Uncut Gems,Uncut Gems,2019-11-14,42.371,72.0,1149,$0.00,"$47,949,353.00",tt5727208
19,181812,"['Action', 'Adventure', 'Science Fiction']",Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,2019-12-18,52.708,65.0,3061,"$250,000,000.00","$1,058,056,021.00",tt2527338
20,338967,"['Action', 'Comedy', 'Horror']",Zombieland: Double Tap,Zombieland: Double Tap,2019-10-09,39.758,69.0,1555,"$42,000,000.00","$122,801,777.00",tt1560220
21,449924,"['Action', 'Drama', 'History']",葉問4,Ip Man 4: The Finale,2019-12-20,51.985,59.0,331,"$52,000,000.00",$0.00,tt2076298
22,466272,"['Comedy', 'Drama', 'Thriller']",Once Upon a Time… in Hollywood,Once Upon a Time… in Hollywood,2019-07-25,51.497,75.0,4860,"$95,000,000.00","$374,251,247.00",tt7131622
23,429617,"['Action', 'Adventure', 'Science Fiction']",Spider-Man: Far from Home,Spider-Man: Far from Home,2019-06-28,42.049,75.0,6132,"$160,000,000.00","$1,131,450,163.00",tt6320628
24,420809,"['Adventure', 'Fantasy', 'Family']",Maleficent: Mistress of Evil,Maleficent: Mistress of Evil,2019-10-16,52.654,72.0,1972,"$85,000,000.00","$491,570,967.00",tt4777008
25,481084,"['Animation', 'Comedy', 'Fantasy', 'Family']",The Addams Family,The Addams Family,2019-10-10,48.834,62.0,602,"$40,000,000.00","$200,185,807.00",tt1620981
26,540901,"['Comedy', 'Crime', 'Drama']",Hustlers,Hustlers,2019-09-12,33.062,63.0,1093,"$20,000,000.00",$0.00,tt5503686
27,552178,"['Drama', 'Thriller']",Dark Waters,Dark Waters,2019-11-22,49.661,74.0,197,$0.00,"$13,601,384.00",tt9071322
28,292011,['Drama'],Richard Jewell,Richard Jewell,2019-12-13,48.93,75.0,388,"$45,000,000.00","$33,904,605.00",tt3513548
29,420817,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Family']",Aladdin,Aladdin,2019-05-22,48.934,70.0,4936,"$183,000,000.00","$1,047,612,394.00",tt6139732
30,420818,"['Adventure', 'Family']",The Lion King,The Lion King,2019-07-12,40.758,71.0,4588,"$260,000,000.00","$1,656,943,394.00",tt6105098
31,616458,"['Drama', 'Comedy']",സത്യം പറഞ്ഞാൽ വിശ്വസിക്കുവോ ?,Sathyam Paranja Viswasikkuvo ?,2019-07-12,35.401,43.0,3,$0.00,$0.00,tt9396112
32,87101,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",Terminator Genisys,Terminator Genisys,2015-06-23,39.117,59.0,5849,"$155,000,000.00","$440,603,537.00",tt1340138
33,559969,"['Crime', 'Drama', 'Thriller', 'Action']",El Camino: A Breaking Bad Movie,El Camino: A Breaking Bad Movie,2019-10-11,41.65,69.0,2043,"$6,000,000.00",$0.00,tt9243946
34,501170,['Horror'],Doctor Sleep,Doctor Sleep,2019-10-30,47.417,71.0,1153,"$45,000,000.00","$72,281,712.00",tt5606664
35,324857,"['Action', 'Adventure', 'Animation', 'Comedy', 'Science Fiction']",Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018-12-06,37.669,84.0,6430,"$90,000,000.00","$375,450,417.00",tt4633694
36,625489,['Comedy'],Recep İvedik 6,Recep İvedik 6,2019-11-07,40.538,49.0,13,$0.00,"$10,941,643.00",tt7399138
37,118340,"['Action', 'Adventure', 'Science Fiction']",Guardians of the Galaxy,Guardians of the Galaxy,2014-07-30,42.524,79.0,19827,"$170,000,000.00","$772,776,600.00",tt2015381
38,384018,"['Action', 'Adventure', 'Comedy']",Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,34.52,66.0,2626,"$200,000,000.00","$760,098,996.00",tt6806448
39,522627,"['Action', 'Comedy', 'Crime']",The Gentlemen,The Gentlemen,2020-01-01,39.678,79.0,366,"$18,400,000.00","$48,441,089.00",tt8367814
40,453405,"['Action', 'Science Fiction', 'Thriller']",Gemini Man,Gemini Man,2019-10-02,36.597,59.0,1493,"$138,000,000.00","$173,469,516.00",tt1025100
41,299537,"['Action', 'Adventure', 'Science Fiction']",Captain Marvel,Captain Marvel,2019-03-06,35.724,70.0,8397,"$152,000,000.00","$1,128,274,794.00",tt4154664
42,299534,"['Action', 'Adventure', 'Science Fiction']",Avengers: Endgame,Avengers: Endgame,2019-04-24,43.045,83.0,11409,"$356,000,000.00","$2,797,800,564.00",tt4154796
43,423204,"['Action', 'Thriller']",Angel Has Fallen,Angel Has Fallen,2019-08-21,41.178,60.0,1220,"$40,000,000.00","$133,365,452.00",tt6189022
44,129,"['Animation', 'Fantasy', 'Family']",千と千尋の神隠し,Spirited Away,2001-07-20,38.129,85.0,8574,"$19,000,000.00","$274,925,095.00",tt0245429
45,458156,"['Action', 'Crime', 'Thriller']",John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019-05-15,41.392,71.0,3954,"$55,000,000.00","$326,699,296.00",tt6146586
46,522938,"['Action', 'Drama', 'Thriller']",Rambo: Last Blood,Rambo: Last Blood,2019-09-19,34.805,59.0,1288,"$50,000,000.00","$91,490,353.00",tt1206885
47,331482,"['Drama', 'Romance']",Little Women,Little Women,2019-12-25,44.108,80.0,1242,"$40,000,000.00","$191,540,586.00",tt3281548
48,486589,"['Animation', 'Romance']",Red Shoes,Red Shoes,2019-07-25,30.738,64.0,106,$0.00,"$5,362,776.00",tt4429160
49,548473,"['Horror', 'Science Fiction']",Color Out of Space,Color Out of Space,2020-01-24,36.233,63.0,90,"$6,000,000.00",$0.00,tt5073642
50,571891,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Family']",劇場版ポケットモンスター ミュウツーの逆襲 EVOLUTION,Pokémon: Mewtwo Strikes Back - Evolution,2019-07-12,36.161,68.0,68,$0.00,$0.00,tt8856470
51,672,"['Adventure', 'Fantasy']",Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,2002-11-13,35.843,77.0,13303,"$100,000,000.00","$876,688,482.00",tt0295297
52,399579,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Alita: Battle Angel,Alita: Battle Angel,2019-01-31,29.828,69.0,4338,"$170,000,000.00","$404,852,543.00",tt0437086
53,320288,"['Action', 'Adventure', 'Science Fiction']",Dark Phoenix,Dark Phoenix,2019-06-05,39.623,60.0,2937,"$200,000,000.00","$245,000,000.00",tt6565702
54,166428,"['Adventure', 'Animation', 'Family']",How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,2019-01-03,26.753,77.0,3091,"$129,000,000.00","$517,526,875.00",tt2386490
55,535292,"['Action', 'Crime', 'Drama']",21 Bridges,21 Bridges,2019-10-24,34.495,62.0,344,"$33,000,000.00","$47,088,457.00",tt8688634
56,301528,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",Toy Story 4,Toy Story 4,2019-06-19,33.643,75.0,3776,"$175,000,000.00","$1,073,394,593.00",tt1979376
