,tconst,originalTitle,startYear,genres,averageRating,numVotes
1328,tt10551082,Shattered Waves,2017.0,"Drama,History",10.0,8
2475,tt11214476,The Destiny Samaj of Banjaraa,2019.0,Drama,10.0,5
918,tt10378512,Path of the Daff,2019.0,Documentary,10.0,11
1467,tt10620492,Khoussouf,2016.0,Drama,10.0,8
1449,tt10608660,Identitas - Uguali ma diversi,2019.0,Documentary,10.0,6
1894,tt10848188,Aziz Rouhou,2015.0,Drama,10.0,8
2264,tt11074596,"Fathallah TV, 10 Ans Et Une Révolution Plus Tard",2019.0,"Documentary,Drama,Music",10.0,8
20168,tt5559434,Off Stage: Damon StCloud,2016.0,"Documentary,Music",10.0,5
2281,tt11084380,Rainaldo Graziani da Meridiano Zero al Soggetto Radicale... da Evola a Dugin,2019.0,Documentary,10.0,6
2282,tt11085716,Kalâat El-Zitoune,2019.0,Documentary,10.0,8
7002,tt3586962,The Silent Angel,2019.0,Documentary,10.0,7
32971,tt7476822,Temenggor,2018.0,"Adventure,Fantasy",10.0,5
40586,tt9280556,Milyon Dolarlik Afis,2019.0,Documentary,10.0,17
2449,tt11201472,El-Alaouine: Qarn w'Thalathoun,2019.0,Documentary,10.0,9
2454,tt11202586,Al-Rajol Al'dhy Asbaha Mot'haf,2019.0,"Biography,Documentary",10.0,8
2434,tt11192624,Hams Al-Maâ,2017.0,Drama,10.0,8
32492,tt7389864,Greetings from Krampus,2018.0,Documentary,10.0,5
41302,tt9578748,American Original,2018.0,Documentary,10.0,5
2726,tt11491342,Saïda min Taht al-Ramad,2016.0,Documentary,10.0,8
2728,tt11493176,Maalem,2016.0,Documentary,10.0,8
2710,tt11460966,"Ines Pedretti contro i sensi vietati, le strade del possibile",2019.0,Documentary,10.0,6
2735,tt11503216,"Feminists, Inch'Allah!",2015.0,"Documentary,History",10.0,8
20994,tt5657746,Shrek for President,2016.0,Comedy,10.0,9
18837,tt5349460,Terre de femmes,2015.0,Documentary,10.0,9
2528,tt11266578,Wraa El-Mouja,2016.0,Documentary,10.0,8
2533,tt11269324,Weldek Rajel,2016.0,Documentary,10.0,8
2538,tt11269932,Rezk El-Bey Lik,2017.0,"Drama,History",10.0,8
28845,tt6735740,Love in Kilnerry,2019.0,Comedy,9.9,2971
41373,tt9610596,Subutex,2018.0,Documentary,9.9,9
33256,tt7525642,A Medicine for the Mind,2019.0,"Comedy,Drama,Fantasy",9.9,154
1719,tt10738796,Time and motion,2019.0,Documentary,9.9,21
40415,tt9221294,Majadhib,2018.0,Documentary,9.9,9
2325,tt11120182,The Butcher Baronet,2019.0,"Documentary,History",9.9,11
