,Rank,Release Group,Worldwide,Domestic,%,Foreign
0,1,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996"
1,2,The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.7%,"$700,900,000"
2,3,Guardians of the Galaxy,"$772,776,600","$333,176,600",43.1%,"$439,600,000"
3,4,Maleficent,"$758,410,378","$241,410,378",31.8%,"$517,000,000"
4,5,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.6%,"$418,220,826"
5,6,X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.4%,"$512,124,166"
6,7,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.4%,"$454,654,931"
7,8,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.3%,"$502,098,977"
8,9,The Amazing Spider-Man 2,"$708,982,323","$202,853,933",28.6%,"$506,128,390"
9,10,Interstellar,"$677,463,813","$188,020,017",27.8%,"$489,443,796"
10,11,Big Hero 6,"$657,827,828","$222,527,828",33.8%,"$435,300,000"
11,12,How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.5%,"$444,534,595"
12,13,American Sniper,"$547,426,372","$350,126,372",64%,"$197,300,000"
13,14,Godzilla,"$524,976,069","$200,676,069",38.2%,"$324,300,000"
14,15,Rio 2,"$498,781,117","$131,538,435",26.4%,"$367,242,682"
15,16,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.4%,"$293,800,000"
16,17,The Lego Movie,"$468,060,692","$257,760,692",55.1%,"$210,300,000"
17,18,Lucy,"$458,863,600","$126,663,600",27.6%,"$332,200,000"
18,19,Penguins of Madagascar,"$373,515,621","$83,850,911",22.4%,"$289,664,710"
19,20,Edge of Tomorrow,"$370,541,256","$100,206,256",27%,"$270,335,000"
20,21,Gone Girl,"$369,330,363","$167,767,189",45.4%,"$201,563,174"
21,22,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.3%,"$249,458,014"
22,23,Noah,"$359,200,044","$101,200,044",28.2%,"$258,000,000"
23,24,The Maze Runner,"$348,319,861","$102,427,862",29.4%,"$245,891,999"
24,25,300: Rise of an Empire,"$337,580,051","$106,580,051",31.6%,"$231,000,000"
25,26,22 Jump Street,"$331,333,876","$191,719,337",57.9%,"$139,614,539"
26,27,The Fault in Our Stars,"$307,166,834","$124,872,350",40.7%,"$182,294,484"
27,28,Divergent,"$288,885,818","$150,947,895",52.3%,"$137,937,923"
28,29,Paddington,"$282,839,394","$76,271,832",27%,"$206,567,562"
29,30,Mr. Peabody & Sherman,"$275,698,039","$111,506,430",40.4%,"$164,191,609"
30,31,Neighbors,"$270,665,134","$150,157,400",55.5%,"$120,507,734"
31,32,Exodus: Gods and Kings,"$268,175,631","$65,014,513",24.2%,"$203,161,118"
32,33,Annabelle,"$257,047,661","$84,273,813",32.8%,"$172,773,848"
33,34,Hercules,"$244,819,862","$72,688,614",29.7%,"$172,131,248"
34,35,RoboCop,"$242,688,965","$58,607,007",24.1%,"$184,081,958"
35,36,The Imitation Game,"$233,555,708","$91,125,683",39%,"$142,430,025"
36,37,Non-Stop,"$222,809,600","$92,168,600",41.4%,"$130,641,000"
37,38,Dracula Untold,"$217,124,280","$56,280,355",25.9%,"$160,843,925"
38,39,The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033"
39,40,Into the Woods,"$212,902,372","$128,002,372",60.1%,"$84,900,000"
40,41,Fury,"$211,817,906","$85,817,906",40.5%,"$126,000,000"
41,42,Need for Speed,"$203,277,636","$43,577,636",21.4%,"$159,700,000"
42,43,The Other Woman,"$196,710,396","$83,911,193",42.7%,"$112,799,203"
43,44,The Equalizer,"$192,330,738","$101,530,738",52.8%,"$90,800,000"
44,45,Breakup Buddies,"$189,017,596","$777,896",0.4%,"$188,239,700"
45,46,The Grand Budapest Hotel,"$172,936,941","$59,301,324",34.3%,"$113,635,617"
46,47,Dumb and Dumber To,"$169,837,010","$86,208,010",50.8%,"$83,629,000"
47,48,Into the Storm,"$161,502,194","$47,602,194",29.5%,"$113,900,000"
48,49,Unbroken,"$161,459,297","$115,637,895",71.6%,"$45,821,402"
49,50,The Monuments Men,"$155,641,650","$78,031,620",50.1%,"$77,610,030"
721,1,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.3%,"$1,131,561,399"
722,2,Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012"
723,3,Furious 7,"$1,515,047,671","$353,007,020",23.3%,"$1,162,040,651"
724,4,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.7%,"$943,800,000"
725,5,Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627"
726,6,Spectre,"$880,674,609","$200,074,609",22.7%,"$680,600,000"
